Time,Occupancy
77.21217020592022,1
193.03042551480053,2
308.84868082368087,2
424.6669361325612,1
540.4851914414413,0
656.3034467503218,0
772.1217020592021,0
887.9399573680824,0
1003.7582126769628,0
1119.576467985843,0
1235.3947232947235,0
1351.2129786036035,1
1467.0312339124841,1
1582.8494892213644,0
1698.6677445302444,0
1814.4859998391248,1
1930.3042551480053,1
2046.1225104568853,1
2161.9407657657653,0
2277.759021074646,0
2393.5772763835266,0
2509.3955316924066,0
2625.213787001287,0
2741.0320423101675,0
2856.850297619047,0
2972.668552927928,0
3088.4868082368084,2
3204.305063545689,2
3320.123318854569,3
3435.941574163449,2
3551.75982947233,3
3667.5780847812102,4
3783.39634009009,2
3899.2145953989702,4
4015.0328507078502,3
4130.851106016731,3
4246.669361325611,3
4362.487616634492,4
4478.305871943372,3
4594.124127252252,3
4709.942382561133,3
4825.760637870013,4
4941.578893178894,5
5057.397148487774,4
5173.215403796654,4
5289.033659105536,4
5404.851914414416,4
5520.670169723295,3
5636.488425032177,3
5752.306680341056,3
5868.124935649937,2
5983.9431909588175,3
6099.761446267697,2
6215.5797015765775,2
6331.3979568854575,2
6447.216212194338,2
6563.0344675032175,2
6678.852722812098,3
6794.670978120977,2
6910.489233429858,3
7026.307488738739,3
7142.125744047618,3
7257.943999356499,3
7373.762254665379,3
7489.580509974259,3
7605.398765283141,2
7721.217020592021,2
7837.035275900901,2
7952.853531209781,2
8068.671786518662,2
8184.490041827541,2
8300.308297136422,2
8416.126552445303,2
8531.944807754184,2
8647.763063063063,2
8763.581318371944,2
8879.399573680825,2
8995.217828989704,2
9111.036084298585,2
9226.854339607466,2
9342.672594916345,3
9458.490850225226,2
9574.309105534106,2
9690.127360842986,2
9805.945616151866,3
9921.763871460747,2
10037.582126769626,2
10153.40038207851,2
10269.218637387388,2
10385.03689269627,2
10500.855148005148,2
10616.67340331403,2
10732.491658622908,2
10848.309913931791,2
10964.12816924067,2
11079.946424549551,3
11195.76467985843,2
11311.582935167313,1
11427.401190476192,1
11543.219445785071,1
11659.037701093952,1
11774.855956402833,1
11890.674211711712,2
12006.492467020591,2
12122.310722329476,2
12238.128977638353,2
12353.947232947234,2
12469.765488256116,2
12585.583743564996,2
12701.401998873876,2
12817.220254182756,2
12933.038509491636,2
13048.856764800516,2
13164.675020109396,2
13280.493275418276,2
13396.311530727156,2
13512.129786036036,2
13627.948041344916,3
13743.766296653796,2
13859.584551962678,4
13975.402807271556,3
14091.221062580436,3
14207.03931788932,3
14322.857573198198,1
14438.675828507081,2
14554.49408381596,0
14670.312339124841,0
14786.130594433718,0
14901.948849742601,2
15017.767105051482,1
15133.58536036036,1
15249.403615669244,1
15365.221870978121,2
15481.040126287002,1
15596.858381595885,1
15712.676636904764,1
15828.494892213645,3
15944.313147522524,2
16060.131402831405,2
16175.949658140284,1
16291.767913449165,1
16407.586168758044,2
16523.404424066925,2
16639.2226793758,1
16755.040934684686,1
16870.859189993567,1
16986.677445302445,1
17102.49570061132,1
17218.313955920206,0
17334.132211229087,0
17449.950466537968,1
17565.76872184685,1
17681.586977155726,1
17797.405232464607,1
17913.223487773488,1
18029.04174308237,1
18144.85999839125,1
18260.67825370013,1
18376.496509009008,1
18492.31476431789,0
18608.133019626766,1
18723.95127493565,0
18839.76953024453,1
18955.587785553413,1
19071.40604086229,0
19187.22429617117,1
19303.042551480048,2
19418.860806788933,2
19534.679062097814,2
19650.49731740669,1
19766.31557271557,2
19882.133828024453,2
19997.952083333334,2
20113.77033864221,2
20229.58859395109,2
20345.406849259976,1
20461.225104568854,1
20577.04335987773,1
20692.86161518661,1
20808.679870495496,1
20924.498125804374,1
21040.316381113258,1
21156.134636422143,1
21271.952891731016,1
21387.771147039894,1
21503.589402348778,1
21619.40765765766,1
21735.22591296654,1
21851.04416827542,0
21966.862423584298,0
22082.680678893183,0
22198.49893420206,0
22314.31718951094,0
22430.135444819818,2
22545.953700128706,1
22661.771955437584,0
22777.59021074646,0
22893.40846605534,0
23009.226721364223,1
23125.044976673107,1
23240.86323198198,1
23356.681487290858,1
23472.499742599746,1
23588.317997908624,1
23704.136253217504,1
23819.95450852638,2
23935.772763835263,3
24051.591019144147,1
24167.40927445302,1
24283.227529761905,1
24399.045785070786,2
24514.864040379667,1
24630.682295688548,0
24746.500550997433,3
24862.318806306303,3
24978.13706161519,2
25093.955316924068,1
25209.77357223295,1
25325.59182754183,1
25441.410082850707,2
25557.22833815959,2
25673.046593468465,2
25788.86484877735,2
25904.68310408623,2
26020.501359395108,2
26136.319614703993,3
26252.13787001287,2
26367.956125321747,3
26483.77438063063,2
26599.592635939516,2
26715.410891248397,2
26831.229146557274,2
26947.04740186615,2
27062.865657175033,3
27178.683912483917,2
27294.502167792798,2
27410.320423101675,2
27526.13867841056,2
27641.956933719433,2
27757.775189028314,2
27873.5934443372,2
27989.41169964608,3
28105.22995495496,3
28221.048210263838,3
28336.866465572715,3
28452.6847208816,3
28568.502976190477,3
28684.32123149936,2
28800.13948680824,3
28915.95774211712,4
29031.775997426,4
29147.594252734878,4
29263.412508043766,4
29379.230763352636,3
29495.049018661517,3
29610.8672739704,3
29726.685529279282,3
29842.503784588163,4
29958.322039897037,3
30074.140295205918,3
30189.9585505148,3
30305.776805823683,3
30421.595061132564,3
30537.413316441434,3
30653.231571750322,3
30769.049827059203,3
30884.868082368084,5
31000.68633767696,4
31116.50459298585,4
31232.322848294723,4
31348.141103603604,4
31463.959358912485,4
31579.777614221366,3
31695.59586953025,3
31811.414124839124,4
31927.232380148,4
32043.05063545689,4
32158.868890765767,4
32274.687146074648,4
32390.50540138353,3
32506.323656692413,4
32622.14191200129,3
32737.960167310164,4
32853.77842261905,4
32969.596677927926,4
33085.41493323681,3
33201.23318854569,3
33317.05144385457,2
33432.86969916345,3
33548.687954472334,4
33664.50620978121,2
33780.32446509009,2
33896.14272039897,3
34011.96097570785,3
34127.779231016735,4
34243.59748632561,3
34359.41574163449,3
34475.233996943374,4
34591.05225225225,3
34706.870507561136,3
34822.68876287001,5
34938.5070181789,3
35054.325273487775,3
35170.14352879665,3
35285.96178410554,3
35401.780039414414,3
35517.5982947233,3
35633.416550032176,3
35749.23480534107,3
35865.05306064994,2
35980.871315958815,2
36096.6895712677,2
36212.507826576584,2
36328.32608188546,2
36444.14433719434,2
36559.962592503216,2
36675.7808478121,3
36791.59910312098,2
36907.41735842986,2
37023.23561373873,2
37139.05386904762,3
37254.8721243565,3
37370.69037966538,4
37486.50863497426,2
37602.32689028314,2
37718.145145592025,3
37833.963400900895,2
37949.78165620978,2
38065.59991151866,2
38181.41816682754,3
38297.236422136426,3
38413.054677445296,3
38528.87293275419,3
38644.691188063065,3
38760.509443371935,3
38876.32769868083,3
38992.1459539897,3
39107.96420929859,3
39223.782464607466,2
39339.600719916336,3
39455.41897522523,3
39571.237230534105,3
39687.05548584299,3
39802.87374115187,3
39918.69199646075,3
40034.51025176963,4
40150.328507078506,3
40266.14676238739,3
40381.96501769627,4
40497.78327300515,4
40613.60152831404,4
40729.41978362291,4
40845.238038931784,4
40961.05629424067,3
41076.87454954955,4
41192.69280485843,3
41308.51106016732,3
41424.329315476185,4
41540.14757078507,3
41655.96582609395,2
41771.78408140283,2
41887.602336711716,3
42003.420592020586,3
42119.238847329485,3
42235.05710263836,3
42350.87535794723,3
42466.69361325612,3
42582.51186856499,3
42698.33012387388,3
42814.148379182756,2
42929.96663449163,2
43045.78488980052,2
43161.6031451094,2
43277.42140041828,2
43393.239655727164,2
43509.057911036034,2
43624.87616634492,2
43740.694421653796,3
43856.51267696268,3
43972.330932271565,3
44088.14918758044,3
44203.96744288932,3
44319.785698198204,2
44435.60395350708,3
44551.422208815966,3
44667.240464124836,3
44783.05871943372,3
44898.876974742605,3
45014.69523005148,3
45130.51348536036,3
45246.33174066925,3
45362.149995978114,4
45477.96825128701,4
45593.786506595876,5
45709.60476190477,4
45825.42301721365,4
45941.24127252252,4
46057.059527831414,2
46172.877783140284,3
46288.69603844917,3
46404.514293758046,4
46520.332549066916,2
46636.15080437581,3
46751.969059684685,4
46867.78731499356,3
46983.605570302454,2
47099.42382561133,2
47215.242080920216,2
47331.06033622909,3
47446.87859153797,2
47562.69684684685,2
47678.51510215573,2
47794.33335746461,2
47910.15161277349,2
48025.96986808237,2
48141.78812339125,1
48257.606378700126,1
48373.42463400901,2
48489.2428893179,2
